Step,Minutes,RMSE_MW,MAE_MW,R2,N_samples
64,640,1.9906583440958785,1.381742885716297,0.06027544773924931,898
65,650,1.9972966010951467,1.3838477253052572,0.05739728590271531,898
66,660,1.995350605728173,1.378972933781527,0.06410682850441307,898
67,670,2.0047174369523626,1.3882234419379536,0.05337458902740655,898
68,680,2.0095712740971536,1.389570628531121,0.05541239534483278,898
69,690,2.0022120548927966,1.384210275157754,0.06564638971479775,898
70,700,2.016588362783205,1.3948100595930353,0.05722144271340601,898
71,710,2.0520092774309315,1.4270182373644718,0.02764978018929032,898
72,720,2.0463225086409187,1.4248307022898026,0.03471987585996961,898
73,730,2.058138822283586,1.4425192547921202,0.020108504050258658,898
74,740,2.071529005672962,1.459945744997311,0.003427806961740054,898
75,750,2.0563691957352974,1.439059136716801,0.018421191532631775,898
76,760,2.05387485051944,1.4404930971091603,0.01712654825211357,898
77,770,2.0566761694472695,1.438325476833411,0.013131824487216948,898
78,780,2.0369977237147756,1.4234534557713672,0.024055774406946617,898
79,790,2.0842596872701966,1.4666703698978996,-0.02405947988427415,898
80,800,2.0717153757932913,1.4492325099033196,-0.0038516164388382457,898
81,810,2.043676795637639,1.4279373951331111,0.016234988336693568,898
82,820,2.036647450291456,1.4186158276113665,0.030537675906597395,898
83,830,2.0215160646279413,1.4078086628456565,0.04167983967064859,898
84,840,2.0559665980499906,1.4278726410406284,0.020710463982445693,898
85,850,2.0628898034924856,1.4394287671597426,0.014281306474661193,898
86,860,2.062966396205723,1.445009175327421,-0.0033636964661718505,898
87,870,2.0353360687640016,1.4291844632503725,0.00928924411493659,898
88,880,2.035737907041162,1.4292923713274337,0.008776173154324995,898
89,890,2.0463929900450775,1.4408424029356597,-0.0019776458867513114,898
90,900,2.04560873445212,1.436942013416682,0.005863192969913222,898
91,910,2.0205972739000213,1.415626098367969,0.027256391067601027,898
92,920,2.0400651387857622,1.4345777033047655,0.014460288686694134,898
93,930,2.054654015731469,1.4393429033499066,-0.001958239979957588,898
94,940,2.0309200576264392,1.4153929021982716,0.029920871549640293,898
95,950,2.0284137261180217,1.4062218692299124,0.03241454469908078,898
96,960,2.025923947177006,1.4136223391665423,0.029699767029196078,898
97,970,1.998898278316887,1.3916921410129939,0.04555590913986829,898
